,fecha,SO2,NO2,CO,O3,PM10,PM2.5
0,2017-01-01,0.0068799999999999,0.0573999999999999,1.28,0.0114399999999999,98.48,74.12
1,2017-01-02,0.0075199999999999,0.0557199999999999,1.168,0.0409999999999999,169.32,119.96
2,2017-01-03,0.0077599999999999,0.0642,1.26,0.0302399999999999,154.08,108.8
3,2017-01-04,0.0077199999999999,0.0702799999999999,1.408,0.0297199999999999,87.08,57.72
4,2017-01-05,0.0063199999999999,0.0539599999999999,1.18,0.0240799999999999,71.48,46.36
5,2017-01-06,0.00596,0.05948,1.036,0.0264399999999999,47.28,31.96
6,2017-01-07,0.0061599999999999,0.06396,1.252,0.0136799999999999,82.88,60.16
7,2017-01-08,0.0053599999999999,0.0495599999999999,0.916,0.0289599999999999,52.24,36.68
8,2017-01-09,0.0076799999999999,0.0309199999999999,1.124,0.0354799999999999,98.36,81.04
9,2017-01-10,0.0055599999999999,0.0381199999999999,0.544,0.0317199999999999,46.96,34.76
10,2017-01-11,0.0059999999999999,0.0488799999999999,0.728,0.0281199999999999,41.24,22.16
11,2017-01-12,0.0058399999999999,0.0483199999999999,0.828,0.0316799999999999,44.08,27.28
12,2017-01-13,0.0049999999999999,0.0317999999999999,0.524,0.0298399999999999,57.6,21.2
13,2017-01-14,0.00472,0.01836,0.4708333333333334,0.0283599999999999,66.84,17.32
14,2017-01-15,0.0049599999999999,0.04412,0.7374999999999999,0.0267999999999999,39.08,22.56
15,2017-01-16,0.0068799999999999,0.06272,1.2083333333333333,0.0159599999999999,71.64,41.96
16,2017-01-17,0.0100399999999999,0.07808,1.6541666666666668,0.0066399999999999,101.76,68.56
17,2017-01-18,0.0087199999999999,0.0707599999999999,1.7041666666666666,0.0119999999999999,134.04,103.48
18,2017-01-19,0.0079599999999999,0.06884,1.4,0.0171199999999999,134.0,97.44
19,2017-01-20,0.0071599999999999,0.05916,0.868,0.0322799999999999,76.2,52.72
20,2017-01-21,0.0059999999999999,0.05864,1.02,0.0204799999999999,66.64,49.24
21,2017-01-22,0.0068399999999999,0.0226399999999999,0.6639999999999999,0.03292,149.29166666666666,46.04
22,2017-01-23,0.0061999999999999,0.0454799999999999,0.708,0.0302799999999999,62.25,46.68
23,2017-01-24,0.0061199999999999,0.0565199999999999,0.976,0.0283199999999999,57.08,42.48
24,2017-01-25,0.0067199999999999,0.07132,1.416,0.0258399999999999,76.48,55.96
25,2017-01-26,0.0082799999999999,0.07124,1.3875,0.0329199999999999,86.6,67.72
26,2017-01-27,0.0050399999999999,0.0305199999999999,0.9125,0.0381599999999999,221.04,72.0
27,2017-01-28,0.0049999999999999,0.0530799999999999,0.8541666666666666,0.0205999999999999,41.68,19.8
28,2017-01-29,0.0049999999999999,0.0481199999999999,0.9541666666666668,0.0185999999999999,37.64,23.04
29,2017-01-30,0.0055999999999999,0.0304399999999999,0.7291666666666666,0.0366799999999999,95.28,73.84
30,2017-01-31,0.0053599999999999,0.0510799999999999,0.908,0.0245599999999999,43.44,28.24
31,2017-02-01,0.0070799999999999,0.05984,1.1,0.0355199999999999,52.6,34.16
32,2017-02-02,0.0061999999999999,0.0564399999999999,0.8640000000000001,0.0330399999999999,49.84,29.32
33,2017-02-03,0.0086799999999999,0.07052,1.272,0.0373599999999999,96.4,68.08
34,2017-02-04,0.0062799999999999,0.07088,1.432,0.0104799999999999,125.12,94.2
35,2017-02-05,0.0059999999999999,0.0585599999999999,1.212,0.0360399999999999,117.92,89.88
36,2017-02-06,0.0054399999999999,0.0317999999999999,0.5920000000000001,0.0372,61.04,45.2
37,2017-02-07,0.0059199999999999,0.0539599999999999,0.892,0.0200799999999999,60.44,36.12
