,Id,Descripcion,Latitud,Longitud
13,lajagua_30,Límite entre barrio 17 de Febrero - barrio La Florida,9.56736,-73.33219
14,lajagua_63,Barrio Las Flores 7,9.50337,-73.40993
15,lajagua_29,Barrio 17 de Febrero (Poste con Cámara),9.57017,-73.33125
16,lajagua_21,Restaurante Doña Martha,9.56431,-73.33492
17,lajagua_31,Colegio Luis Carlos Galán,9.56714,-73.33372
18,lajagua_32,Cruce hacia La Loma 1,9.57114,-73.32581
19,lajagua_14,Parque barrio el paraíso,9.564255,-73.3287597
20,lajagua_68,Vereda Maquencal,9.49791,-73.415
21,lajagua_2,Zona de mercado público 2,9.563753,-73.336409
22,lajagua_24,Estadio 17 de Febrero,9.57211,-73.33242
23,lajagua_52,Coliseo Barrio Francisco Gómez,9.50108,-73.40692
24,lajagua_9,Zona cementerio central la Jagua de Ibirico,9.5626111,-73.3396944
25,lajagua_61,Parque / CDI,9.50016,-73.40742
26,lajagua_18,Institución Educativa José Guillermo Castro Castro,9.5636667,-73.338388
27,lajagua_6,Estadio Didier Lobo de Chinchilla,9.5665556,-73.3363055
28,lajagua_53,Parque Central,9.49933,-73.40667
29,lajagua_27,Límite entre barrio Galán - barrio Nuevo Galán,9.57139,-73.33033
30,lajagua_38,Alcaldía de La Jagua de Ibirico,9.55975,-73.33369
31,lajagua_58,Tanque elevado - colegio Boqueron,9.63247,-73.42237
32,lajagua_71,Torre /Centro de salud de La Palmita / I.E.D. La Palmita,9.50162,-73.40512
33,lajagua_74,Torre,9.58629,-73.23656
