,Criterio,Weight
1,Alumbrado publico,0.1358735961799064
2,Area o zona,0.1239410757476821
4,Direccion del viento,0.08943504069816771
10,Distancia al gateway,0.04461299690331019
3,Fuente de exposicion,0.0924639910878773
9,Linea de vista,0.04870768225951144
0,Nodos por gateway,0.1730795397639479
7,Proximidad a la carretera,0.07138125365977585
8,Proximidad a la mina,0.0690307302916024
5,Proximidad a la via ferrea,0.07784928575775298
6,Velocidad del viento,0.07362480765046585
