fecha,estacion,latitud,longitud,PM25
2021-04-16,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_375,11.1520483,-72.605673,21.37
2021-04-19,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_374,11.1520483,-72.605673,23.5
2021-04-22,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_373,11.1520483,-72.605673,15.65
2021-04-25,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_372,11.1520483,-72.605673,8.52
2021-04-28,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_371,11.1520483,-72.605673,5.76
2021-05-01,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_370,11.1520483,-72.605673,7.3
2021-05-04,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_369,11.1520483,-72.605673,7.04
2021-05-07,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_368,11.1520483,-72.605673,6.88
2021-05-10,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_367,11.1520483,-72.605673,7.43
2021-05-13,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_366,11.1520483,-72.605673,18.79
2021-05-16,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_365,11.1520483,-72.605673,12.51
2021-05-19,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_364,11.1520483,-72.605673,13.63
2021-05-22,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_363,11.1520483,-72.605673,21.25
2021-05-25,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_362,11.1520483,-72.605673,14.74
2021-05-28,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_361,11.1520483,-72.605673,12.92
2021-05-31,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_360,11.1520483,-72.605673,11.1
2021-06-03,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_359,11.1520483,-72.605673,9.5
2021-06-06,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_358,11.1520483,-72.605673,6.14
2021-06-09,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_357,11.1520483,-72.605673,19.77
2021-06-12,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_356,11.1520483,-72.605673,22.88
2021-06-15,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_355,11.1520483,-72.605673,16.65
2021-06-18,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_354,11.1520483,-72.605673,10.52
2021-06-21,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_353,11.1520483,-72.605673,12.66
2021-06-24,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_352,11.1520483,-72.605673,12.54
2021-06-27,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_351,11.1520483,-72.605673,14.51
2021-06-30,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_350,11.1520483,-72.605673,16.61
2021-07-03,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_349,11.1520483,-72.605673,9.42
2021-07-06,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_348,11.1520483,-72.605673,15.59
2021-07-09,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_347,11.1520483,-72.605673,19.03
2021-07-12,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_346,11.1520483,-72.605673,8.62
2021-07-15,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_345,11.1520483,-72.605673,10.08
2021-07-18,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_344,11.1520483,-72.605673,11.74
2021-07-21,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_343,11.1520483,-72.605673,16.67
2021-07-24,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_342,11.1520483,-72.605673,11.15
2021-07-27,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_341,11.1520483,-72.605673,7.41
2021-07-30,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_340,11.1520483,-72.605673,18.29
2021-08-02,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_339,11.1520483,-72.605673,17.22
2021-08-05,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_338,11.1520483,-72.605673,11.24
2021-08-08,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_337,11.1520483,-72.605673,9.98
2021-08-11,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_336,11.1520483,-72.605673,15.58
2021-08-14,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_335,11.1520483,-72.605673,10.97
2021-08-17,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_334,11.1520483,-72.605673,14.2
2021-08-20,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_333,11.1520483,-72.605673,16.74
2021-08-23,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_332,11.1520483,-72.605673,13.63
2021-08-26,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_331,11.1520483,-72.605673,13.53
2021-08-29,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_330,11.1520483,-72.605673,21.46
2021-09-01,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_329,11.1520483,-72.605673,18.01
2021-09-04,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_328,11.1520483,-72.605673,13.32
2021-09-07,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_327,11.1520483,-72.605673,13.34
2021-09-10,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_326,11.1520483,-72.605673,19.42
2021-09-13,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_325,11.1520483,-72.605673,13.33
2021-09-16,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_324,11.1520483,-72.605673,14.27
2021-09-19,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_323,11.1520483,-72.605673,17.3
2021-09-22,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_322,11.1520483,-72.605673,16.94
2021-09-25,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_321,11.1520483,-72.605673,6.66
2021-09-28,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_320,11.1520483,-72.605673,8.23
2021-10-01,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_319,11.1520483,-72.605673,12.4
2021-10-04,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_318,11.1520483,-72.605673,19.4
2021-10-07,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_317,11.1520483,-72.605673,13.48
2021-10-10,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_316,11.1520483,-72.605673,16.75
2021-10-13,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_315,11.1520483,-72.605673,13.22
2021-10-16,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_314,11.1520483,-72.605673,14.57
2021-10-19,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_313,11.1520483,-72.605673,19.13
