fecha,estacion,latitud,longitud,PM10
2024-06-23,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","52,2"
2024-06-22,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","34,5"
2024-06-21,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","44,3"
2024-06-20,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","43,6"
2024-06-19,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","19,1"
2024-06-18,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","28,1"
2024-06-17,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","30,5"
2024-06-16,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","16,2"
2024-06-15,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","19,3"
2024-06-14,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","40,4"
2024-06-13,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","43,9"
2024-06-12,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","17,3"
2024-06-11,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","16,4"
2024-06-10,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","19,5"
2024-06-09,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","27,8"
2024-06-08,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","26,1"
2024-06-07,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","27,9"
2024-06-06,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","21,7"
2024-06-05,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","35,6"
2024-06-04,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","32,4"
2024-06-03,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","27,7"
2024-06-02,P_ESTACION_VIENTO_ARRIBA_ALBANIA _C_VAAL_06,"11,1610849","-72,5856386","29,9"
