fecha,estacion,latitud,longitud,PM10
2010-04-14,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1445,11.1520483,-72.605673,41.5
2010-05-08,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1444,11.1520483,-72.605673,35.2
2010-05-14,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1443,11.1520483,-72.605673,21.9
2010-05-20,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1442,11.1520483,-72.605673,35.7
2010-05-26,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1441,11.1520483,-72.605673,31.2
2010-06-01,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1440,11.1520483,-72.605673,29.9
2010-06-07,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1439,11.1520483,-72.605673,29.3
2010-06-13,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1438,11.1520483,-72.605673,18.2
2010-06-19,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1437,11.1520483,-72.605673,24.1
2010-06-25,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1436,11.1520483,-72.605673,32.1
2010-07-01,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1435,11.1520483,-72.605673,39.5
2010-07-07,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1434,11.1520483,-72.605673,29.3
2010-07-13,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1433,11.1520483,-72.605673,31.5
2010-07-19,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1432,11.1520483,-72.605673,25.4
2010-07-25,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1431,11.1520483,-72.605673,38.7
2010-07-31,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1430,11.1520483,-72.605673,32.5
2010-08-06,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1429,11.1520483,-72.605673,31.1
2010-08-12,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1428,11.1520483,-72.605673,43.8
2010-08-18,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1427,11.1520483,-72.605673,44.1
2010-08-24,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1426,11.1520483,-72.605673,25.2
2010-08-30,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1425,11.1520483,-72.605673,10.2
2010-09-05,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1424,11.1520483,-72.605673,57.4
2010-09-17,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1423,11.1520483,-72.605673,24.2
2010-09-23,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1422,11.1520483,-72.605673,23.2
2010-09-29,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1421,11.1520483,-72.605673,21.7
2010-10-05,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1420,11.1520483,-72.605673,46.4
2010-10-11,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1419,11.1520483,-72.605673,25.2
2010-10-17,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1418,11.1520483,-72.605673,25.0
2010-10-23,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1417,11.1520483,-72.605673,19.7
2010-10-29,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1416,11.1520483,-72.605673,27.0
2010-11-04,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1415,11.1520483,-72.605673,19.9
2010-11-10,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1414,11.1520483,-72.605673,22.4
2010-11-16,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1413,11.1520483,-72.605673,31.5
2010-11-22,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1412,11.1520483,-72.605673,25.6
2010-11-28,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1411,11.1520483,-72.605673,13.3
2010-12-04,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1410,11.1520483,-72.605673,2.6
2010-12-10,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1409,11.1520483,-72.605673,13.1
2010-12-16,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1408,11.1520483,-72.605673,23.3
2010-12-22,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1407,11.1520483,-72.605673,22.5
2010-12-28,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1406,11.1520483,-72.605673,21.8
2011-01-03,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1405,11.1520483,-72.605673,17.7
2011-01-09,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1404,11.1520483,-72.605673,21.0
2011-01-21,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1403,11.1520483,-72.605673,11.8
2011-01-27,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1402,11.1520483,-72.605673,21.8
2011-02-02,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1401,11.1520483,-72.605673,30.2
2011-02-08,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1400,11.1520483,-72.605673,47.7
2011-02-14,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1399,11.1520483,-72.605673,29.1
2011-02-20,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1398,11.1520483,-72.605673,14.9
2011-02-26,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1397,11.1520483,-72.605673,24.4
2011-03-04,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1396,11.1520483,-72.605673,15.0
2011-03-10,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1395,11.1520483,-72.605673,24.5
2011-03-16,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1394,11.1520483,-72.605673,21.5
2011-03-22,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1393,11.1520483,-72.605673,25.0
2011-03-28,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1392,11.1520483,-72.605673,53.5
2011-04-03,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1391,11.1520483,-72.605673,46.2
2011-04-09,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1390,11.1520483,-72.605673,34.2
2011-04-15,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1389,11.1520483,-72.605673,39.3
2011-04-21,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1388,11.1520483,-72.605673,12.4
2011-04-27,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1387,11.1520483,-72.605673,20.17053257
2011-05-03,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1386,11.1520483,-72.605673,30.67304089
2011-05-09,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1385,11.1520483,-72.605673,24.31437499
2011-05-15,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1384,11.1520483,-72.605673,27.90205756
2011-05-21,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1383,11.1520483,-72.605673,34.28894025
2011-05-27,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1382,11.1520483,-72.605673,24.20898048
2011-06-02,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1381,11.1520483,-72.605673,25.08499145
2011-06-08,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1380,11.1520483,-72.605673,30.41000782
2011-06-14,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1379,11.1520483,-72.605673,29.13934688
2011-06-20,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1378,11.1520483,-72.605673,19.58689484
2011-06-26,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1377,11.1520483,-72.605673,30.71136192
2011-07-02,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1376,11.1520483,-72.605673,48.19446305
2011-07-08,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1375,11.1520483,-72.605673,35.30220586
2011-07-14,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1374,11.1520483,-72.605673,27.64496023
2011-07-26,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_1373,11.1520483,-72.605673,19.40134413
